#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
-380.0,30,7.427467
-390.0,30,7.427471
-400.0,30,7.533743
-390.0,30,7.533762
-90.0,30,7.533769
-180.0,30,7.533774
-190.0,30,7.533778
-180.0,30,7.533787
-190.0,30,7.533791
-370.0,30,7.533795
-190.0,30,7.640119
-100.0,30,7.640136
120.0,30,7.640142
10.0,30,7.640151
-70.0,30,7.640155
-390.0,30,7.640159
-200.0,30,7.640164
-190.0,30,7.640168
-190.0,30,7.746107
120.0,30,7.74613
0.0,30,7.746137
10.0,30,7.746142
-190.0,30,7.746147
-390.0,30,7.746151
-400.0,30,7.746155
30.0,30,7.746159
0.0,30,7.856751
120.0,30,7.856784
-200.0,30,7.856793
-180.0,30,7.856799
10.0,30,7.856804
-390.0,30,7.856809
10.0,30,7.856814
110.0,30,7.856818
-370.0,30,7.980504
10.0,30,7.980544
-400.0,30,7.980552
-300.0,30,7.980558
10.0,30,7.980563
110.0,30,7.980567
-190.0,30,7.980572
-390.0,30,7.980576
-600.0,30,8.106816
-190.0,30,8.106854
-390.0,30,8.106862
-90.0,30,8.106868
-400.0,30,8.106873
-180.0,30,8.106881
-200.0,30,8.106885
-280.0,30,8.106889
-90.0,30,8.22806
-400.0,30,8.228086
-200.0,30,8.228092
110.0,30,8.228097
-380.0,30,8.228102
-180.0,30,8.228106
-390.0,30,8.22811
-200.0,30,8.228114
-390.0,30,8.350117
10.0,30,8.35014
-390.0,30,8.350151
-190.0,30,8.350157
-200.0,30,8.350161
-80.0,30,8.350166
-190.0,30,8.35017
-200.0,30,8.350174
-200.0,30,8.458855
-190.0,30,8.45888
-200.0,30,8.458886
-200.0,30,8.458891
110.0,30,8.458895
-400.0,30,8.458899
130.0,30,8.458903
10.0,30,8.458907
-100.0,30,8.564882
-390.0,30,8.564899
-390.0,30,8.564905
-190.0,30,8.56491
-190.0,30,8.564914
-100.0,30,8.564919
-400.0,30,8.564923
-90.0,30,8.564927
-190.0,30,8.672018
-170.0,30,8.672041
-200.0,30,8.672053
-190.0,30,8.672059
-390.0,30,8.672063
-300.0,30,8.672068
-190.0,30,8.672072
-390.0,30,8.672076
-400.0,30,8.778256
-90.0,30,8.778276
-190.0,30,8.778283
20.0,30,8.778288
110.0,30,8.778293
-180.0,30,8.778297
-100.0,30,8.778301
-400.0,30,8.778305
-390.0,30,8.885082
220.0,30,8.885104
0.0,30,8.885111
-190.0,30,8.885116
110.0,30,8.88512
0.0,30,8.885129
-390.0,30,8.885135
-90.0,30,8.885139
-590.0,30,8.991374
-190.0,30,8.991394
-80.0,30,8.9914
220.0,30,8.991406
-390.0,30,8.99141
-390.0,30,8.991419
-200.0,30,8.991423
-90.0,30,8.991427
-100.0,30,9.098241
-90.0,30,9.098261
-90.0,30,9.098267
-180.0,30,9.098272
220.0,30,9.098276
-190.0,30,9.098281
-300.0,30,9.09829
10.0,30,9.098294
-190.0,30,9.20463
-190.0,30,9.204646
-390.0,30,9.204653
-190.0,30,9.204657
-190.0,30,9.204662
-200.0,30,9.204666
110.0,30,9.20467
-180.0,30,9.204674
-370.0,30,9.31014
-190.0,30,9.310158
10.0,30,9.310164
10.0,30,9.310169
-180.0,30,9.310174
-300.0,30,9.310178
10.0,30,9.310182
-190.0,30,9.310186
-90.0,30,9.426557
-390.0,30,9.426613
-90.0,30,9.426622
-90.0,30,9.426628
-180.0,30,9.426633
20.0,30,9.426637
-190.0,30,9.426642
20.0,30,9.426646
-180.0,30,9.536938
10.0,30,9.536972
-190.0,30,9.536979
-390.0,30,9.536984
-390.0,30,9.537003
-390.0,30,9.537008
-400.0,30,9.537012
10.0,30,9.537016
-400.0,30,9.643527
-200.0,30,9.643547
10.0,30,9.643554
-190.0,30,9.643559
-190.0,30,9.643564
-90.0,30,9.643568
-180.0,30,9.643572
-90.0,30,9.643582
120.0,30,9.75137
110.0,30,9.751402
10.0,30,9.751409
-400.0,30,9.751414
10.0,30,9.751419
20.0,30,9.751427
10.0,30,9.751431
-200.0,30,9.751435
-390.0,30,9.857577
20.0,30,9.857596
-200.0,30,9.857602
-200.0,30,9.857611
20.0,30,9.857616
-390.0,30,9.85762
-190.0,30,9.857625
-190.0,30,9.857629
-180.0,30,9.966294
20.0,30,9.96634
20.0,30,9.966359
10.0,30,9.966365
-180.0,30,9.96637
-380.0,30,9.966375
-200.0,30,9.966379
-200.0,30,9.966384
20.0,30,10.081754
130.0,30,10.081803
220.0,30,10.08181
-180.0,30,10.081816
-370.0,30,10.08182
-200.0,30,10.081825
-390.0,30,10.081829
-490.0,30,10.081833
-180.0,30,10.20457
10.0,30,10.204618
-370.0,30,10.204627
